time,label,label_id,200Hz_roll,200Hz_pich,200Hz_yaw,100Hz_roll,100Hz_pich,100Hz_yaw,50Hz_roll,50Hz_pich,50Hz_yaw,25Hz_roll,25Hz_pich,25Hz_yaw
2018-05-29 21:02:43.580,none,-1,-0.4154934186753029,-0.02368764703990467,3.0237275148764264,-0.4490433529158237,-0.0256354474144591,3.021425861925361,-0.530133987167406,-0.025730129501552144,3.0337854110233664,-0.744588303054837,-0.023994893764789266,3.005203899192696
2018-05-29 21:02:43.585,none,-1,-0.3989034407561943,-0.02169972296841109,3.02324056801512,-0.4367290752513068,-0.02333781733249088,3.0210148368865166,-0.5186416154803656,-0.026231598102006082,3.033535828940331,-0.7316529151229044,-0.024419938518493136,3.0049242101800644
2018-05-29 21:02:43.590,none,-1,-0.3860718532966898,-0.018050340696644542,3.022848741598047,-0.4244147975867899,-0.021040187250522653,3.020603811847672,-0.5071492437933252,-0.02673306670246002,3.033286246857296,-0.7187175271909719,-0.024844983272197006,3.004644521167432
2018-05-29 21:02:43.595,none,-1,-0.3743972810897835,-0.011697066157979124,3.022684244316047,-0.41353079468808196,-0.022544567258840076,3.0204493502088705,-0.4956568721062846,-0.027234535302913962,3.0330366647742606,-0.7057821392590394,-0.025270028025900875,3.0043648321548
2018-05-29 21:02:43.600,none,-1,-0.3644814400446125,-0.017108658679212192,3.0226811899898567,-0.40264679178937396,-0.024048947267157502,3.020294888570069,-0.4841645004192442,-0.0277360039033679,3.0327870826912253,-0.6928467513271069,-0.025695072779604745,3.004085143142168
2018-05-29 21:02:43.605,none,-1,-0.3611385976554404,-0.027042719645224263,3.022696025288498,-0.3984148832516131,-0.025476024363838792,3.0204318969163504,-0.47980239824013743,-0.029939096785480984,3.0330353557773213,-0.6839824353204851,-0.02649148335710294,3.0041488476598657
2018-05-29 21:02:43.610,none,-1,-0.36233015814764186,-0.028996313993491632,3.022840887616413,-0.3941829747138522,-0.026903101460520083,3.020568905262632,-0.47544029606103066,-0.032142189667594065,3.0332836288634173,-0.6751181193138633,-0.027287893934601137,3.0042125521775636
2018-05-29 21:02:43.615,none,-1,-0.3686366802225525,-0.0312219269406883,3.023210461085523,-0.39563893510488135,-0.03128768162781522,3.020947205378002,-0.47107819388192385,-0.03434528254970715,3.0335319019495137,-0.6662538033072415,-0.028084304512099333,3.0042762566952614
2018-05-29 21:02:43.620,none,-1,-0.3769709489487215,-0.03872221040840845,3.023691299294448,-0.3970948954959105,-0.03567226179511036,3.021325505493372,-0.4667160917028171,-0.03654837543182023,3.0337801750356097,-0.6573894873006196,-0.028880715089597532,3.004339961212959
2018-05-29 21:02:43.625,none,-1,-0.3820475952404701,-0.04438182949615163,3.024138103582958,-0.3962288529676625,-0.03805041374645028,3.0217378395291554,-0.4611499870784585,-0.037307258456301784,3.034085171322396,-0.6485251712939978,-0.029677125667095725,3.0044036657306568
